date,ticker,action,shares,price,value,pnl
2024-01-02,NVDA UW Equity,BUY,20760.67098488623,48.168,1000000.0,
2024-01-02,META UW Equity,BUY,2887.7530393600737,346.29,1000000.0,
2024-01-02,TXN UW Equity,BUY,5908.070424199457,169.26,1000000.0,
2024-01-10,META UW Equity,SELL,2887.7530393600737,370.47,1069825.8684917265,69825.86849172646
2024-01-11,PANW UW Equity,BUY,6182.571331416736,161.745,1000000.0,
2024-01-19,NVDA UW Equity,SELL,20760.67098488623,59.491,1235073.0775618667,235073.07756186684
2024-01-26,NVDA UW Equity,BUY,16385.11576084285,61.031,1000000.0,
2024-02-15,ABNB UW Equity,BUY,6341.556217895872,157.69,1000000.0,
2024-02-16,ABNB UW Equity,SELL,6341.556217895872,152.51,967150.7387912993,-32849.261208700715
2024-02-16,CSCO UW Equity,BUY,20644.09578860446,48.44,1000000.0,
2024-02-21,PANW UW Equity,SELL,6182.571331416736,130.985,809824.1058456212,-190175.8941543788
2024-02-22,ABNB UW Equity,BUY,6440.80896560608,155.26,1000000.0,
2024-02-23,CSCO UW Equity,SELL,20644.09578860446,48.86,1008670.5202312139,8670.520231213886
2024-02-23,ABNB UW Equity,SELL,6440.80896560608,152.66,983253.8966894242,-16746.103310575825
2024-02-26,CSCO UW Equity,BUY,20661.15702479339,48.4,1000000.0,
2024-02-27,PANW UW Equity,BUY,6354.2494042891185,157.375,1000000.0,
2024-02-29,ABNB UW Equity,BUY,6350.415952244872,157.47,1000000.0,
2024-03-01,PANW UW Equity,SELL,6354.2494042891185,151.2,960762.5099285146,-39237.4900714854
2024-03-01,ABNB UW Equity,SELL,6350.415952244872,159.72,1014288.4358925509,14288.435892550857
2024-03-01,NKE UN Equity,BUY,9815.469179426776,101.88,1000000.0,
2024-03-04,CSCO UW Equity,SELL,20661.15702479339,49.13,1015082.6446280993,15082.644628099282
2024-03-04,ABNB UW Equity,BUY,6325.510784995889,158.09,1000000.0,
2024-03-05,PEP UW Equity,BUY,6171.315724512467,162.04,1000000.0,
2024-03-06,ABNB UW Equity,SELL,6325.510784995889,163.87,1036561.4523372763,36561.45233727631
2024-03-06,PEP UW Equity,SELL,6171.315724512467,163.0,1005924.463095532,5924.463095532032
2024-03-07,NVDA UW Equity,SELL,16385.11576084285,92.669,1518392.2924415462,518392.2924415462
2024-03-08,NVDA UW Equity,BUY,11424.915455625627,87.528,1000000.0,
2024-03-12,NVDA UW Equity,SELL,11424.915455625627,91.913,1050098.2542729182,50098.25427291822
2024-03-13,NVDA UW Equity,BUY,11002.55259220139,90.888,1000000.0,
2024-03-15,ADBE UW Equity,BUY,2030.6217763879301,492.46,1000000.0,
2024-03-18,ADBE UW Equity,SELL,2030.6217763879301,513.86,1043455.3060147018,43455.30601470184
2024-03-21,NVDA UW Equity,SELL,11002.55259220139,91.435,1006018.3962679341,6018.396267934237
2024-03-22,ADBE UW Equity,BUY,2001.9218449711725,499.52,1000000.0,
2024-03-25,ADBE UW Equity,SELL,2001.9218449711725,507.23,1015434.8174247278,15434.817424727837
2024-03-27,NVDA UW Equity,BUY,11080.3324099723,90.25,1000000.0,
2024-03-28,TXN UW Equity,SELL,5908.070424199457,174.21,1029244.9485997874,29244.948599787313
2024-03-28,PDD UW Equity,BUY,8602.150537634408,116.25,1000000.0,
2024-04-01,ABNB UW Equity,BUY,6121.074860745547,163.37,1000000.0,
2024-04-02,ADBE UW Equity,BUY,2003.1650007011078,499.21,1000000.0,
2024-04-04,CSCO UW Equity,BUY,20785.699438786116,48.11,1000000.0,
2024-04-09,CSCO UW Equity,SELL,20785.699438786116,50.01,1039492.8289336936,39492.828933693585
2024-04-10,AAPL UW Equity,BUY,5960.185957801883,167.78,1000000.0,
2024-04-11,ABNB UW Equity,SELL,6121.074860745547,165.42,1012548.2034645283,12548.203464528313
2024-04-11,AAPL UW Equity,SELL,5960.185957801883,175.04,1043270.9500536416,43270.95005364169
2024-04-12,ABNB UW Equity,BUY,6274.706657463764,159.37,1000000.0,
2024-04-12,CSCO UW Equity,BUY,20622.808826562177,48.49,1000000.0,
2024-04-17,AAPL UW Equity,BUY,5952.380952380952,168.0,1000000.0,
2024-04-17,TXN UW Equity,BUY,6035.003017501509,165.7,1000000.0,
2024-04-22,PDD UW Equity,SELL,8602.150537634408,124.14,1067870.9677419355,67870.96774193551
2024-04-24,AAPL UW Equity,SELL,5952.380952380952,169.02,1006071.4285714286,6071.428571428638
2024-04-24,TXN UW Equity,SELL,6035.003017501509,174.81,1054978.8774894387,54978.877489438746
2024-04-26,CSCO UW Equity,SELL,20622.808826562177,47.86,987007.6304392657,-12992.369560734252
2024-04-30,NOW UN Equity,BUY,1442.3146265126275,693.33,1000000.0,
2024-05-03,NOW UN Equity,SELL,1442.3146265126275,716.65,1033634.7770902744,33634.77709027438
2024-05-09,ABNB UW Equity,SELL,6274.706657463764,147.05,922695.6139800466,-77304.38601995353
2024-05-15,PANW UW Equity,BUY,6403.688524590164,156.16,1000000.0,
2024-05-22,PANW UW Equity,SELL,6403.688524590164,154.29,988025.1024590164,-11974.897540983628
2024-05-23,PANW UW Equity,BUY,6421.782686873877,155.72,1000000.0,
2024-05-28,PANW UW Equity,SELL,6421.782686873877,154.005,988986.6426920113,-11013.357307988801
2024-05-30,NOW UN Equity,BUY,1554.5088529279176,643.29,1000000.0,
2024-06-05,NOW UN Equity,SELL,1554.5088529279176,704.11,1094545.228435076,94545.22843507607
2024-06-07,NOW UN Equity,BUY,1431.004135601952,698.81,1000000.0,
2024-06-10,NOW UN Equity,SELL,1431.004135601952,709.15,1014796.5827621241,14796.582762124133
2024-06-10,PANW UW Equity,BUY,6471.444750040447,154.525,1000000.0,
2024-06-11,PEP UW Equity,BUY,6058.0359847337495,165.07,1000000.0,
2024-06-14,NVDA UW Equity,SELL,11080.3324099723,131.88,1461274.238227147,461274.2382271469
2024-06-21,ADBE UW Equity,SELL,2003.1650007011078,533.44,1068568.337973999,68568.33797399909
2024-06-21,NVDA UW Equity,BUY,7900.766374338311,126.57,1000000.0,
2024-06-24,ADBE UW Equity,BUY,1907.778010950646,524.17,1000000.0,
2024-06-25,ADBE UW Equity,SELL,1907.778010950646,526.88,1005170.0784096763,5170.078409676324
2024-06-28,PDD UW Equity,BUY,7521.624670928922,132.95,1000000.0,
2024-07-08,NOW UN Equity,BUY,1305.1422605063951,766.2,1000000.0,
2024-07-09,NVDA UW Equity,SELL,7900.766374338311,131.38,1038002.6862605673,38002.68626056728
2024-07-11,NVDA UW Equity,BUY,7849.293563579277,127.4,1000000.0,
2024-07-17,PEP UW Equity,SELL,6058.0359847337495,169.89,1029199.7334464167,29199.733446416678
2024-07-22,PEP UW Equity,BUY,5964.4518668734345,167.66,1000000.0,
2024-07-25,NOW UN Equity,SELL,1305.1422605063951,828.79,1081688.8540850952,81688.85408509523
2024-07-25,PEP UW Equity,SELL,5964.4518668734345,171.02,1020040.5582726948,20040.55827269482
2024-08-02,PANW UW Equity,SELL,6471.444750040447,152.8,988836.7578061803,-11163.242193819839
2024-08-05,NOW UN Equity,BUY,1279.9672328388394,781.27,1000000.0,
2024-08-05,ADBE UW Equity,BUY,1963.402183303228,509.32,1000000.0,
2024-08-06,NOW UN Equity,SELL,1279.9672328388394,792.95,1014950.0172795578,14950.01727955765
2024-08-07,NOW UN Equity,BUY,1288.1949811923532,776.28,1000000.0,
2024-08-08,ADBE UW Equity,SELL,1963.402183303228,530.24,1041074.3736747036,41074.373674703646
2024-08-08,NOW UN Equity,SELL,1288.1949811923532,796.14,1025583.55232648,25583.55232648016
2024-08-08,PANW UW Equity,BUY,6301.792860068689,158.685,1000000.0,
2024-08-13,PANW UW Equity,SELL,6301.792860068689,166.615,1049973.2173803446,49973.217380344635
2024-09-09,GOOGL UW Equity,BUY,6724.497343823549,148.71,1000000.0,
2024-09-11,GOOGL UW Equity,SELL,6724.497343823549,151.16,1016475.0184923677,16475.018492367584
2024-09-13,ADBE UW Equity,BUY,1862.6483133719523,536.87,1000000.0,
2024-09-18,PANW UW Equity,BUY,6065.2009097801365,164.875,1000000.0,
2024-09-19,PANW UW Equity,SELL,6065.2009097801365,166.8,1011675.5117513268,11675.511751326849
2024-09-24,PEP UW Equity,BUY,5885.12241054614,169.92,1000000.0,
