date,type,ticker,price,return_1d,return_1w,return_1m,return_3m,return_1y,5YR_AVG_RETURN_ON_EQUITY,ALTMAN_Z_SCORE,CUR_MKT_CAP,EQY_DPS_GROSS_3YR_GROWTH,EV_TO_T12M_SALES,FIVE_YEAR_AVG_PRICE_SALES,FIVE_YR_AVG_PRICE_EARNINGS,FREE_CASH_FLOW_YIELD,GROSS_MARGIN,LT_DEBT_TO_TOT_ASSET,OPER_INC_GROWTH,PE_RATIO,PX_TO_SALES_RATIO,EVS_5Y_AVG,OPERINC_GROWTH_EST12M,CUR_PEto5yAvg,CUR_PSto5yAvg,CUR_EVSto5yAvg,rule_of_x
2024-01-02,value,META UW Equity,346.29,-0.005255710531635314,0.032169568858471186,0.14002714487856985,0.4633399751653238,0.7304571313061307,31.0363,11.8024,889917.7655,,9.1085,7.9046,23.1321,4.9209,81.8301,18.3423,26.2002,20.0816,6.606,6.967236564954987,22.786965348603957,0.868126975069276,0.8357159122536244,1.3073332468450274,
2024-01-02,value,NVDA UW Equity,48.168,-0.012435641919946783,0.10322205613685437,0.3084828101644246,0.8469523334994187,1.8714084039196146,47.5251,43.9432,1189749.6,0.0,24.4391,25.5495,84.1657,1.4725,75.9671,14.5722,983.1344,61.4119,26.5078,16.584080018309393,297.1555614632071,0.7296547168264507,1.037507583318656,1.4736482200410512,1.4725
2024-01-02,value,TXN UW Equity,169.26,-0.014888337468982524,-0.003722084367245631,-0.05654023395958876,0.0063807160581354876,0.10451376580408837,36.8049,10.2421,153722.6248,10.5063,12.3183,9.837,29.9092,0.8779,59.6001,36.3636,-17.8647,24.2217,8.7702,8.573286171832434,-6.021039636331295,0.8098411191205381,0.8915523025312596,1.4368236115192123,21.8905
2024-01-03,value,META UW Equity,344.47,0.007692977617789581,0.07547827096699276,0.3789009202543036,0.48320608470984405,0.7552471913374168,31.0363,11.8024,885240.6153,,9.1085,7.9046,23.1321,4.9469,81.8301,18.3423,26.2002,19.9761,6.5713,6.967236564954987,22.786965348603957,0.8635662131842763,0.831326063304911,1.3073332468450274,
2024-01-03,value,NVDA UW Equity,47.569,0.009018478420820175,0.1425508209127793,0.3908217536630998,0.8059030040572641,2.037061952111669,47.5251,43.9432,1174954.3,0.0,24.4391,25.5495,84.1657,1.491,75.9671,14.5722,983.1344,60.6482,26.1781,16.584080018309393,297.1555614632071,0.7205809492465458,1.0246032211980667,1.4736482200410512,1.491
2024-01-03,value,TXN UW Equity,166.74,-0.013643996641477783,0.0030586541921553967,-0.04522010315461209,0.010735276478349478,0.14255727479908828,36.8049,10.2421,151433.9505,10.5063,12.3183,9.837,29.9092,0.8911,59.6001,36.3636,-17.8647,23.8611,8.6397,8.573286171832434,-6.021039636331295,0.797784628141174,0.8782860628240317,1.4368236115192123,21.9037
2024-01-04,value,META UW Equity,347.12,0.013914496427748283,0.06496312514404244,0.32349043558423607,0.5191864484904356,0.815510486287163,31.0363,11.8024,892050.7515,,9.1085,7.9046,23.1321,4.9092,81.8301,18.3423,26.2002,20.1297,6.6218,6.967236564954987,22.786965348603957,0.870206336649072,0.8377147483743643,1.3073332468450274,
2024-01-04,value,NVDA UW Equity,47.998,0.022896787366140335,0.14217259052460532,0.4444768532022167,0.8335763990166257,2.113254718946623,47.5251,43.9432,1185550.6,0.0,24.4391,25.5495,84.1657,1.4777,75.9671,14.5722,983.1344,61.1951,26.4142,16.584080018309393,297.1555614632071,0.7270788456580293,1.0338441065382886,1.4736482200410512,1.4777
2024-01-04,value,TXN UW Equity,164.465,0.0038610038610038056,0.006901164381479287,-0.03383698659289209,0.01845377435928615,0.16851609764995593,36.8049,10.2421,149367.7862,10.5063,12.3183,9.837,29.9092,0.9035,59.6001,36.3636,-17.8647,23.5355,8.5218,8.573286171832434,-6.003273142311553,0.7868983456595295,0.8663007014333639,1.4368236115192123,21.9161
2024-01-05,value,META UW Equity,351.95,0.019065208126154386,0.06404318795283427,0.292001704787612,0.4753516124449496,0.755618695837477,31.0363,11.8024,904463.1885,,9.1085,7.9046,23.1321,4.8418,81.8301,18.3423,26.2002,20.4098,6.714,6.967236564954987,22.786965348603957,0.8823150513788199,0.8493788426991878,1.3073332468450274,
2024-01-05,value,NVDA UW Equity,49.097,0.06428091329409126,0.1143247041570768,0.38955536998187257,0.7747112858219442,1.8543495529258402,47.5251,43.9432,1212695.9,0.0,24.4391,25.5495,84.1657,1.4446,75.9671,14.5722,983.1344,62.5963,27.019,16.584080018309393,297.1555614632071,0.7437269576561473,1.0575158026575862,1.4736482200410512,1.4446
2024-01-05,value,TXN UW Equity,165.1,0.020835857056329486,-0.0013930950938824335,-0.04076317383403991,0.026408237431859563,0.16420351302241074,36.8049,10.2421,149944.4958,10.5063,12.3183,9.837,29.9092,0.9,59.6001,36.3636,-17.8647,23.6264,8.5547,8.573286171832434,-6.138275247360166,0.7899375443007504,0.8696452170377148,1.4368236115192123,21.912599999999998
2024-01-08,value,META UW Equity,358.66,-0.003429431773824843,0.02453577204037237,0.30929013550437723,0.4411977917805162,0.7027825796018513,31.0363,11.8024,921706.9675,,9.1085,7.9046,23.1321,4.7512,81.8301,18.3423,26.2002,20.7989,6.842,6.967236564954987,22.718747182290077,0.899135832890226,0.865571945449485,1.3073332468450274,
2024-01-08,value,NVDA UW Equity,52.253,0.01697510190802443,0.07901938644671115,0.34153062982029747,0.6334755899182822,1.6813771458098101,47.5251,43.9432,1290649.1,0.0,24.4391,25.5495,84.1657,1.3573,75.9671,14.5722,983.1344,66.62,28.7558,16.584080018309393,297.1555614632071,0.7915338433589931,1.1254936495821837,1.4736482200410512,1.3573
2024-01-08,value,TXN UW Equity,168.54,0.0005339978640085643,-0.02764922273644237,-0.05796843479292739,0.029191883232467165,0.13717811795419488,36.8049,10.2421,153068.7178,10.5063,12.3183,9.837,29.9092,0.8816,59.6001,36.3636,-17.8647,24.1187,8.7329,8.573286171832434,-6.138275247360166,0.8063973626843914,0.8877604960862052,1.4368236115192123,21.894199999999998
2024-01-09,value,META UW Equity,357.43,0.03648266793498033,0.03060739165710768,0.31494278600005593,0.4543546988221471,0.723022689757435,31.0363,11.8024,918546.0363,,9.1085,7.9046,23.1321,4.7676,81.8301,18.3423,26.2002,20.7276,6.8185,6.967236564954987,22.82771323087533,0.8960535359954348,0.8625989929914227,1.3073332468450274,
2024-01-09,value,NVDA UW Equity,53.14,0.02277004140007529,0.054817463304478675,0.3105193827625142,0.6379187053067369,1.5575837410613473,47.5251,43.9432,1312558.0,0.0,24.4391,25.5495,84.1657,1.3347,75.9671,14.5722,983.1344,67.7509,29.244,16.584080018309393,297.1555614632071,0.8049704333237887,1.144601655609699,1.4736482200410512,1.3347
2024-01-09,value,TXN UW Equity,168.63,-0.008183597224693088,-0.03685583822570126,-0.049931803356460816,0.001719741445768796,0.1276166755618811,36.8049,10.2421,153150.4562,10.5063,12.3183,9.837,29.9092,0.8812,59.6001,36.3636,-17.8647,24.1316,8.7376,8.573286171832434,-6.138275247360166,0.8068286681021224,0.888238284029684,1.4368236115192123,21.8938
2024-01-10,value,NVDA UW Equity,54.35,0.008684452621895149,0.05072677092916279,0.3271941122355105,0.6672677092916283,,47.5251,43.9432,1342445.0,0.0,24.4391,25.5495,84.1657,1.305,75.9671,14.5722,983.1344,69.2936,29.9099,16.584080018309393,297.18559295289583,0.8232997527496355,1.1706647879606256,1.4736482200410512,1.305
2024-01-10,value,TXN UW Equity,167.25,-0.009865470852017971,-0.00203288490284008,-0.028998505231689054,0.023617339312406508,,36.8049,10.2421,151897.1346,10.5063,12.3183,9.837,29.9092,0.8884,59.6001,36.3636,-17.8647,23.9341,8.6661,8.573286171832434,-6.271272743399936,0.8002253487221324,0.8809698078682525,1.4368236115192123,21.901
